"first_name";"last_name";"name"
"Marc";"Andre Ter Stegen";"FC Barcelona"
"Karim";"Benzema";"Real Madrid"
"Sergio";"Busquets";"FC Barcelona"
"David";"de Gea";"Manchester United"
"Bruno";"Fernandes";"Manchester United"
"Leon";"Goretzka";"Bayern Munich"
"Antoine";"Griezmann";"FC Barcelona"
"Joshua";"Kimmich";"Bayern Munich"
"Toni";"Kroos";"Real Madrid"
"Robert";"Lewandowski";"Bayern Munich"
"Harry";"Maguire";"Manchester United"
"Lionel";"Messi";"FC Barcelona"
"Luka";"Modric";"Real Madrid"
"Thomas";"Müller";"Bayern Munich"
"Manuel";"Neuer";"Bayern Munich"
"Gerard";"Pique";"FC Barcelona"
"Paul";"Pogba";"Manchester United"
"Sergio";"Ramos";"Real Madrid"
"Marcus";"Rashford";"Manchester United"
"Cristiano";"Ronaldo";"Real Madrid"
